Id Linha Base,Timestamp,Horario,Fim de Semana,Sensor Comodo,Comodo,lig_desl_luz,lig_desl_aparelho,tempo_lig_luz,tempo_lig_aparelho,Id Atividade,Atividade
130,2019-05-27 15:24,15:24,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
130,2019-05-27 15:24,15:24,False,22,Corredor,0,0,0.0,0,15,Pres corredor
132,2019-05-27 15:30,15:30,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
133,2019-05-27 15:33,15:33,False,22,Corredor,0,0,0.0,0,15,Pres corredor
134,2019-05-27 15:36,15:36,False,20,Quarto 2,0,0,0.0,0.0,13,Pres quarto 2
135,2019-05-27 15:40,15:40,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
135,2019-05-27 15:40,15:40,False,22,Corredor,0,0,0.0,0,15,Pres corredor
137,2019-05-27 15:46,15:46,False,16,Cozinha,0,0,0.0,0.0,5,Pres cozinha
137,2019-05-27 15:46,15:46,False,15,Sala,0,0,0.0,0.0,6,Pres sala
137,2019-05-27 15:46,15:46,False,22,Corredor,0,0,0.0,0,15,Pres corredor
139,2019-05-27 15:52,15:52,False,20,Quarto 2,0,0,0.0,0.0,13,Pres quarto 2
139,2019-05-27 15:52,15:52,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
139,2019-05-27 15:52,15:52,False,22,Corredor,0,0,0.0,0,15,Pres corredor
141,2019-05-27 15:58,15:58,False,22,Corredor,0,0,0.0,0,15,Pres corredor
142,2019-05-27 16:05,16:05,False,16,Cozinha,0,0,0.0,0.0,5,Pres cozinha
142,2019-05-27 16:05,16:05,False,15,Sala,0,0,0.0,0.0,6,Pres sala
142,2019-05-27 16:05,16:05,False,17,Lavanderia,0,0,0.0,0.0,12,Pres lavanderia
143,2019-05-27 16:08,16:08,False,18,Garagem,0,0,0.0,0,3,Entrada
143,2019-05-27 16:08,16:08,False,18,Garagem,0,0,0.0,0,4,Saida
143,2019-05-27 16:08,16:08,False,18,Garagem,0,0,0.0,0,16,Pres garagem
146,2019-05-27 16:20,16:20,False,16,Cozinha,0,0,1.0,1.0,10,Cozinhar
146,2019-05-27 16:20,16:20,False,17,Lavanderia,0,0,0.0,0.0,12,Pres lavanderia
146,2019-05-27 16:20,16:20,False,22,Corredor,0,0,0.0,0,15,Pres corredor
147,2019-05-27 16:23,16:23,False,18,Garagem,0,0,0.0,0,3,Entrada
147,2019-05-27 16:23,16:23,False,18,Garagem,0,0,0.0,0,4,Saida
147,2019-05-27 16:23,16:23,False,18,Garagem,0,0,0.0,0,16,Pres garagem
149,2019-05-27 16:30,16:30,False,18,Garagem,0,0,0.0,0,3,Entrada
149,2019-05-27 16:30,16:30,False,18,Garagem,0,0,0.0,0,4,Saida
149,2019-05-27 16:30,16:30,False,18,Garagem,0,0,0.0,0,16,Pres garagem
151,2019-05-27 16:36,16:36,False,16,Cozinha,0,0,1.0,1.0,10,Cozinhar
153,2019-05-27 16:45,16:45,False,16,Cozinha,0,0,1.0,1.0,10,Cozinhar
157,2019-05-27 16:58,16:58,False,18,Garagem,0,0,0.0,0,3,Entrada
157,2019-05-27 16:58,16:58,False,18,Garagem,0,0,0.0,0,4,Saida
157,2019-05-27 16:58,16:58,False,15,Sala,0,0,0.0,0.0,6,Pres sala
157,2019-05-27 16:58,16:58,False,16,Cozinha,0,0,1.0,1.0,10,Cozinhar
157,2019-05-27 16:58,16:58,False,17,Lavanderia,0,0,0.0,0.0,12,Pres lavanderia
157,2019-05-27 16:58,16:58,False,18,Garagem,0,0,0.0,0,16,Pres garagem
163,2019-05-27 17:17,17:17,False,18,Garagem,0,0,0.0,0,3,Entrada
163,2019-05-27 17:17,17:17,False,18,Garagem,0,0,0.0,0,4,Saida
163,2019-05-27 17:17,17:17,False,15,Sala,0,0,0.0,0.0,6,Pres sala
163,2019-05-27 17:17,17:17,False,16,Cozinha,0,0,1.0,1.0,10,Cozinhar
163,2019-05-27 17:17,17:17,False,17,Lavanderia,0,0,1.0,0.0,12,Pres lavanderia
163,2019-05-27 17:17,17:17,False,18,Garagem,0,0,0.0,0,16,Pres garagem
168,2019-05-27 17:32,17:32,False,18,Garagem,0,0,0.0,0,3,Entrada
168,2019-05-27 17:32,17:32,False,18,Garagem,0,0,0.0,0,4,Saida
168,2019-05-27 17:32,17:32,False,18,Garagem,0,0,0.0,0,16,Pres garagem
169,2019-05-27 17:39,17:39,False,15,Sala,0,0,0.0,0.0,6,Pres sala
169,2019-05-27 17:39,17:39,False,16,Cozinha,0,0,1.0,1.0,10,Cozinhar
169,2019-05-27 17:39,17:39,False,17,Lavanderia,0,0,1.0,0.0,12,Pres lavanderia
173,2019-05-27 17:51,17:51,False,16,Cozinha,0,0,1.0,1.0,10,Cozinhar
177,2019-05-27 18:04,18:04,False,18,Garagem,0,0,0.0,0,3,Entrada
