Sensor,Timestamp
pres_garagem,"""2019-04-14 20:02"""
pres_cozinha,"""2019-04-14 20:04"""
pres_cozinha,"""2019-04-14 20:06"""
pres_cozinha,"""2019-04-14 20:08"""
pres_cozinha,"""2019-04-14 20:10"""
pres_sala,"""2019-04-14 20:14"""
pres_quarto2,"""2019-04-14 20:14"""
pres_corredor,"""2019-04-14 20:14"""
pres_quarto3,"""2019-04-14 20:14"""
luz_sala OFF,"""2019-04-15 01:31"""
luz_cozinha OFF,"""2019-04-15 01:31"""
luz_aquario OFF,"""2019-04-15 01:31"""
pres_lavanderia,"""2019-04-15 01:31"""
pres_quarto3,"""2019-04-15 01:31"""
tv_cozinha OFF,"""2019-04-15 01:31"""
pres_lavanderia,"""2019-04-15 01:32"""
pres_quarto3,"""2019-04-15 01:32"""
pres_cozinha,"""2019-04-15 01:34"""
pres_lavanderia,"""2019-04-15 01:34"""
pres_quarto3,"""2019-04-15 01:34"""
luz_quarto1 ON,"""2019-04-15 01:37"""
pres_quarto3,"""2019-04-15 01:37"""
pres_quarto3,"""2019-04-15 01:39"""
pres_sala,"""2019-04-15 01:41"""
pres_corredor,"""2019-04-15 01:41"""
pres_quarto3,"""2019-04-15 01:41"""
pres_quarto2,"""2019-04-15 01:43"""
pres_cobertura,"""2019-04-15 01:43"""
pres_corredor,"""2019-04-15 01:43"""
pres_cozinha,"""2019-04-15 01:49"""
pres_garagem,"""2019-04-15 01:49"""
pres_corredor,"""2019-04-15 01:49"""
pres_quarto3,"""2019-04-15 01:49"""
luz_corredor ON,"""2019-04-15 05:04"""
pres_cozinha,"""2019-04-15 05:04"""
pres_quarto2,"""2019-04-15 05:04"""
pres_quarto3,"""2019-04-15 05:04"""
luz_sala ON,"""2019-04-15 05:08"""
luz_cozinha ON,"""2019-04-15 05:08"""
pres_sala,"""2019-04-15 05:10"""
pres_cozinha,"""2019-04-15 05:10"""
luz_quarto1 OFF,"""2019-04-15 05:14"""
luz_corredor OFF,"""2019-04-15 05:14"""
pres_sala,"""2019-04-15 05:14"""
pres_cozinha,"""2019-04-15 05:14"""
pres_sala,"""2019-04-15 05:16"""
pres_cozinha,"""2019-04-15 05:16"""
pres_sala,"""2019-04-15 05:18"""
pres_cozinha,"""2019-04-15 05:18"""
pres_cobertura,"""2019-04-15 05:18"""
pres_corredor,"""2019-04-15 05:18"""
pres_sala,"""2019-04-15 05:20"""
pres_cozinha,"""2019-04-15 05:20"""
pres_sala,"""2019-04-15 05:23"""
pres_cozinha,"""2019-04-15 05:23"""
pres_lavanderia,"""2019-04-15 05:23"""
pres_garagem,"""2019-04-15 05:23"""
luz_garagem ON,"""2019-04-15 05:25"""
pres_garagem,"""2019-04-15 05:25"""
pres_quarto2,"""2019-04-15 05:25"""
luz_garagem OFF,"""2019-04-15 05:31"""
pres_lavanderia,"""2019-04-15 05:31"""
pres_garagem,"""2019-04-15 05:31"""
pres_garagem,"""2019-04-15 05:37"""
pres_quarto2,"""2019-04-15 05:47"""
luz_cozinha OFF,"""2019-04-15 05:49"""
pres_quarto2,"""2019-04-15 05:49"""
pres_corredor,"""2019-04-15 05:49"""
pres_cozinha,"""2019-04-15 05:53"""
pres_cobertura,"""2019-04-15 05:53"""
pres_corredor,"""2019-04-15 05:53"""
pres_quarto3,"""2019-04-15 05:53"""
pres_garagem,"""2019-04-15 05:55"""
pres_cobertura,"""2019-04-15 05:55"""
pres_corredor,"""2019-04-15 05:55"""
pres_quarto3,"""2019-04-15 05:55"""
luz_sala OFF,"""2019-04-15 05:58"""
pres_quarto3,"""2019-04-15 05:58"""
pres_corredor,"""2019-04-15 06:00"""
pres_quarto3,"""2019-04-15 06:00"""
pres_cobertura,"""2019-04-15 06:02"""
pres_quarto3,"""2019-04-15 06:02"""
pres_quarto3,"""2019-04-15 06:04"""
pres_quarto3,"""2019-04-15 06:06"""
pres_garagem,"""2019-04-15 06:08"""
pres_garagem,"""2019-04-15 06:10"""
pres_garagem,"""2019-04-15 06:12"""
pres_quarto2,"""2019-04-15 06:12"""
